,gene_name,product,start,stop,strand,operon,length,cog
b2352,yfdI,CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI,2469131,2470462,+,yfdI;yfdH;yfdG,1332,No COG Annotation
b2353,tfaS,,2470803,2471105,+,tfaS,303,No COG Annotation
b2354,yfdK,CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK,2471077,2471517,-,yfdO;yfdN;yfdM;yfdL;yfdK,441,Function unknown
b2355,yfdL,CPS-53 (KpLE1) prophage; putative uncharacterized protein YfdL,2471544,2472062,-,yfdO;yfdN;yfdM;yfdL;yfdK,519,No COG Annotation
b2356,yfdM,CPS-53 (KpLE1) prophage; putative methyltransferase,2472112,2472387,-,yfdO;yfdN;yfdM;yfdL;yfdK,276,No COG Annotation
b2357,yfdN,CPS-53 (KpLE1) prophage; protein YzyA,2472387,2472881,-,yfdO;yfdN;yfdM;yfdL;yfdK,495,No COG Annotation
b2358,yfdO,CPS-53 (KpLE1) prophage; putative defective phage replication protein O,2472878,2473246,-,yfdO;yfdN;yfdM;yfdL;yfdK,369,No COG Annotation
b2359,yfdP,CPS-53 (KpLE1) prophage; protein YfdP,2473604,2473966,+,yfdQ;yfdP,363,No COG Annotation
b2360,yfdQ,CPS-53 (KpLE1) prophage; protein YfdQ,2474032,2474856,+,yfdQ;yfdP,825,Function unknown
b2361,yfdR,CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase,2474984,2475520,+,yfdT;yfdS;yfdR,537,Function unknown
b2362,yfdS,CPS-53 (KpLE1) prophage; protein YfdS,2475511,2475873,+,yfdT;yfdS;yfdR,363,Function unknown
b2363,yfdT,CPS-53 (KpLE1) prophage; protein YfdT,2475873,2476178,+,yfdT;yfdS;yfdR,306,No COG Annotation
b2364,dsdC,DNA-binding transcriptional dual regulator DsdC,2476694,2477629,-,dsdC,936,Transcription
b2366,dsdA,D-serine ammonia-lyase,2479202,2480530,+,dsdA;dsdX,1329,Amino acid transport and metabolism
b2367,emrY,tripartite efflux pump membrane subunit EmrY,2480638,2482176,-,emrY;emrK,1539,Inorganic ion transport and metabolism
b2368,emrK,tripartite efflux pump membrane fusion protein EmrK,2482176,2483339,-,emrY;emrK,1164,Defense mechanisms
b2369,evgA,"Phosphorylated DNA-binding transcriptional activator EvgA // ""DNA-binding transcriptional activator EvgA""",2483755,2484369,+,evgS;evgA,615,Signal transduction mechanisms
b2370,evgS,"sensory histidine kinase EvgS  - his721 phosphorylated // ""sensory histidine kinase EvgS - asp1009 phosphorylated"" // ""sensory histidine kinase EvgS - his1137 phosphorylated"" // ""sensory histidine kinase EvgS""",2484374,2487967,+,evgS;evgA,3594,Signal transduction mechanisms
b2371,yfdE,acetyl-CoA:oxalate CoA-transferase,2488023,2489168,-,yfdE;yfdV;oxc;frc;yfdX,1146,Energy production and conversion
b2372,yfdV,putative transport protein YfdV,2489242,2490186,-,yfdE;yfdV;oxc;frc;yfdX,945,Function unknown
b2373,oxc,oxalyl-CoA decarboxylase,2490256,2491950,-,yfdE;yfdV;oxc;frc;yfdX,1695,Amino acid transport and metabolism
b2374,frc,formyl-CoA transferase,2492004,2493254,-,yfdE;yfdV;oxc;frc;yfdX,1251,Energy production and conversion
b2375,yfdX,protein YfdX,2493767,2494402,-,yfdE;yfdV;oxc;frc;yfdX,636,Function unknown
b2376,ypdI,colanic acid synthesis putative lipoprotein YpdI,2494698,2494973,+,ypdI,276,No COG Annotation
b2377,yfdY,DUF2545 domain-containing protein YfdY,2495050,2495292,-,yfdY,243,Function unknown
b2378,lpxP,PALMITOTRANS-MONOMER,2495645,2496565,+,lpxP,921,Cell wall/membrane/envelope biogenesis
b2379,alaC,glutamate&mdash;pyruvate aminotransferase AlaC,2497057,2498295,-,alaC,1239,Amino acid transport and metabolism
b2380,pyrS,"PyrS-<i>N</i>-phospho-L-histidine // ""sensor histidine kinase PyrS""",2498671,2500368,+,ypdC;pyrR;pyrS,1698,Signal transduction mechanisms
b2381,pyrR,"phosphorylated DNA-binding transcriptional dual regulator PyrR // ""DNA-binding transcriptional activator PyrR""",2500383,2501117,+,ypdC;pyrR;pyrS,735,Signal transduction mechanisms
b2382,ypdC,putative AraC-type DNA-binding transcriptional regulator YpdC,2501130,2501987,+,ypdC;pyrR;pyrS,858,Transcription
b2383,fryA,putative PTS multiphosphoryl transfer protein FryA,2501990,2504485,-,fryB;fryC;ypdF;ypdE;fryA,2496,Carbohydrate transport and metabolism
b2384,ypdE,aminopeptidase YpdE,2504510,2505547,-,fryB;fryC;ypdF;ypdE;fryA,1038,Amino acid transport and metabolism
b2385,ypdF,aminopeptidase YpdF,2505547,2506632,-,fryB;fryC;ypdF;ypdE;fryA,1086,Amino acid transport and metabolism
b2386,fryC,putative PTS enzyme IIC component FryC,2506647,2507894,-,fryB;fryC;ypdF;ypdE;fryA,1248,Carbohydrate transport and metabolism
b2387,fryB,putative PTS enzyme IIB component FryB,2507916,2508242,-,fryB;fryC;ypdF;ypdE;fryA,327,Carbohydrate transport and metabolism
b2388,glk,glucokinase,2508461,2509426,-,glk,966,Carbohydrate transport and metabolism
b2389,yfeO,putative transport protein YfeO,2509630,2510886,+,yfeO,1257,Inorganic ion transport and metabolism
b2392,mntH,Mn<sup>2+</sup>/Fe<sup>2+</sup>: H<sup>+</sup> symporter MntH,2511468,2512706,-,mntH,1239,Inorganic ion transport and metabolism
b2393,nupC,nucleoside:H<sup>+</sup> symporter NupC,2513042,2514244,+,nupC,1203,Nucleotide transport and metabolism
b2395,pdeA,putative c-di-GMP phosphodiesterase PdeA,2515643,2517832,-,pdeA,2190,Signal transduction mechanisms
b2398,yfeC,putative DNA-binding transcriptional regulator YfeC,2518467,2518811,+,yfeD;yfeC,345,Transcription
b2399,yfeD,putative DNA-binding transcriptional regulator YfeD,2518813,2519205,+,yfeD;yfeC,393,Function unknown
b2400,gltX,glutamate&mdash;tRNA ligase,2519257,2520672,-,gltX,1416,"Translation, ribosomal structure and biogenesis"
b2405,xapR,DNA-binding transcriptional activator XapR,2521593,2522477,-,xapR,885,Transcription
b2406,xapB,XAPB-MONOMER,2522729,2523985,-,xapB;xapA,1257,Carbohydrate transport and metabolism
b2407,xapA,xanthosine phosphorylase,2524045,2524878,-,xapB;xapA,834,Nucleotide transport and metabolism
b2408,yfeN,putative outer membrane porin YfeN,2525127,2525891,+,yfeN,765,Cell wall/membrane/envelope biogenesis
b2409,yfeR,putative LysR-type DNA-binding transcriptional regulator YfeR,2525930,2526856,-,yfeR,927,Transcription
b2410,yfeH,putative solute:Na<sup>+</sup> symporter,2526946,2527944,+,yfeH,999,Function unknown
b2411,ligA,DNA ligase,2528161,2530176,-,ligA;ypeB,2016,"Replication, recombination and repair"
b2412,zipA,cell division protein ZipA,2530247,2531233,-,zipA,987,"Cell cycle control, cell division, chromosome partitioning"
b2413,cysZ,EG10003-MONOMER,2531463,2532224,+,cysZ,762,Amino acid transport and metabolism
b2414,cysK,<i>O</i>-acetylserine sulfhydrylase A,2532409,2533380,+,cysK,972,Amino acid transport and metabolism
b2415,ptsH,"HPr - phosphorylated // ""phosphocarrier protein HPr""",2533764,2534021,+,ptsH;ptsI;crr,258,Carbohydrate transport and metabolism
b2417,crr,Enzyme IIA<sup>Glc</sup>,2535834,2536343,+,crr;ptsH;ptsI,510,Carbohydrate transport and metabolism
b2418,pdxK,pyridoxal kinase I,2536386,2537237,-,pdxK,852,Coenzyme transport and metabolism
b2420,yfeS,PF05406 family protein YfeS,2537749,2538483,+,yfeS;yfeK,735,Function unknown
b2421,cysM,cysteine synthase B,2538672,2539583,-,cysM;cysA;cysW;cysU;cysP,912,Amino acid transport and metabolism
b2422,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit,2539717,2540814,-,cysM;cysA;cysW;cysU;cysP,1098,Inorganic ion transport and metabolism
b2423,cysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,2540804,2541679,-,cysM;cysA;cysW;cysU;cysP,876,Inorganic ion transport and metabolism
b2424,cysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,2541679,2542512,-,cysM;cysA;cysW;cysU;cysP,834,Inorganic ion transport and metabolism
b2425,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,2542512,2543528,-,cysM;cysA;cysW;cysU;cysP,1017,Inorganic ion transport and metabolism
b2426,ucpA,oxidoreductase UcpA,2543832,2544623,-,ucpA,792,Function unknown
b2427,murR,DNA-binding transcriptional dual regulator MurR,2544752,2545609,-,murR,858,Transcription
b2428,murQ,<i>N</i>-acetylmuramic acid 6-phosphate etherase,2545773,2546669,+,murP;murQ;yfeW,897,Function unknown
b2429,murP,N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter,2546673,2548097,+,murP;murQ;yfeW,1425,Carbohydrate transport and metabolism
b2430,yfeW,penicillin binding protein 4B,2548102,2549406,+,yfeW;murP;murQ,1305,Defense mechanisms
b2431,yfeX,porphyrinogen peroxidase,2549646,2550545,-,yfeX;yfeY,900,Inorganic ion transport and metabolism
b2432,yfeY,DUF1131 domain-containing lipoprotein YfeY,2550641,2551216,-,yfeX;yfeY,576,Function unknown
b2435,amiA,<i>N</i>-acetylmuramoyl-L-alanine amidase A,2552352,2553221,+,hemF;amiA,870,Cell wall/membrane/envelope biogenesis
b2436,hemF,coproporphyrinogen III oxidase,2553225,2554124,+,hemF;amiA,900,Coenzyme transport and metabolism
b2437,eutR,putative AraC-type transcriptional regulator EutR,2554130,2555182,-,eutB;eutC;eutL;eutK;eutR,1053,Transcription
b2438,eutK,"putative structural protein, ethanolamine utilization microcompartment",2555228,2555728,-,eutB;eutC;eutL;eutK;eutR,501,Amino acid transport and metabolism
b2439,eutL,"putative structural protein, ethanolamine utilization microcompartment",2555741,2556400,-,eutB;eutC;eutL;eutK;eutR,660,Amino acid transport and metabolism
b2440,eutC,ethanolamine ammonia-lyase subunit &beta;,2556410,2557297,-,eutB;eutC;eutL;eutK;eutR,888,Amino acid transport and metabolism
b2441,eutB,ethanolamine ammonia-lyase subunit &alpha;,2557318,2558679,-,eutB;eutC;eutL;eutK;eutR,1362,Amino acid transport and metabolism
b2442,intZ,CPZ-55 prophage; putative phage integrase IntZ,2558858,2560066,+,intZ,1209,"Replication, recombination and repair"
b2443,yffL,CPZ-55 prophage; uncharacterized protein YffL,2560257,2560898,+,yffL,642,No COG Annotation
b2444,yffM,CPZ-55 prophage; uncharacterized protein YffM,2561368,2561613,+,yffN;yffM,246,No COG Annotation
b2445,yffN,CPZ-55 prophage; uncharacterized protein YffN,2561625,2561993,+,yffN;yffM,369,No COG Annotation
b2446,yffO,CPZ-55 prophage; uncharacterized protein YffO,2562111,2562527,+,yffP;yffO,417,No COG Annotation
b2447,yffP,CPZ-55 prophage; uncharacterized protein YffP,2562524,2563117,+,yffP;yffO,594,No COG Annotation
b2448,yffQ,CPZ-55 prophage; uncharacterized protein YffQ,2563592,2563969,+,yffR;yffQ,378,No COG Annotation
b2449,yffR,CPZ-55 prophage; uncharacterized protein YffR,2563980,2564372,+,yffR;yffQ,393,No COG Annotation
b2450,yffS,CPZ-55 prophage; uncharacterized protein YffS,2564523,2565332,+,yffS,810,No COG Annotation
b2451,eutA,ethanolamine ammonia-lyase reactivase EutA,2565481,2566884,-,eutH;eutA,1404,Amino acid transport and metabolism
b2453,eutG,putative alcohol dehydrogenase EutG,2568324,2569511,-,eutN;eutE;eutJ;eutG,1188,Energy production and conversion
b2454,eutJ,putative ethanolamine utilization chaperonin EutJ,2569501,2570337,-,eutN;eutE;eutJ;eutG,837,Amino acid transport and metabolism
b2456,eutN,putative ethanolamine catabolic microcompartment shell protein EutN,2571763,2572050,-,eutN;eutE;eutJ;eutG,288,Amino acid transport and metabolism
b2457,eutM,putative ethanolamine catabolic microcompartment shell protein EutM,2572157,2572450,-,eutS;eutP;eutQ;eutT;eutD;eutM,294,Amino acid transport and metabolism
b2458,eutD,phosphate acetyltransferase EutD,2572489,2573505,-,eutS;eutP;eutQ;eutT;eutD;eutM,1017,Energy production and conversion
b2459,eutT,putative ethanolamine utilization cobalamin adenosyltransferase,2573502,2574305,-,eutS;eutP;eutQ;eutT;eutD;eutM,804,Amino acid transport and metabolism
b2460,eutQ,putative ethanolamine utilization acetate kinase EutQ,2574302,2575003,-,eutS;eutP;eutQ;eutT;eutD;eutM,702,Amino acid transport and metabolism
b2461,eutP,putative ethanolamine utilization acetate kinase EutP,2574978,2575457,-,eutS;eutP;eutQ;eutT;eutD;eutM,480,Amino acid transport and metabolism
b2463,maeB,NADP<sup>+</sup>-dependent malate dehydrogenase,2576098,2578377,-,maeB,2280,Energy production and conversion
b2464,talA,transaldolase A,2578666,2579616,+,talA;tktB,951,Carbohydrate transport and metabolism
b2465,tktB,transketolase 2,2579636,2581639,+,tktB;talA,2004,Carbohydrate transport and metabolism
b2466,ypfG,DUF1176 domain-containing protein YpfG,2581734,2582777,-,ypfG,1044,Function unknown
b2467,nudK,GDP-mannose hydrolase,2582903,2583478,-,nudK,576,Function unknown
b2468,aegA,putative oxidoreductase AegA,2583546,2585525,-,aegA,1980,Amino acid transport and metabolism
b2469,narQ,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",2585731,2587431,+,narQ,1701,Signal transduction mechanisms
b2470,acrD,multidrug efflux pump RND permease AcrD,2587595,2590708,+,acrD,3114,Inorganic ion transport and metabolism
b2471,yffB,putative reductase YffB,2591247,2591603,+,ypfN;dapE;yffB,357,Inorganic ion transport and metabolism
b2472,dapE,succinyl-diaminopimelate desuccinylase,2591607,2592734,+,ypfN;dapE;yffB,1128,Amino acid transport and metabolism
b2473,ypfH,esterase YpfH,2593072,2593770,-,ypfH,699,Function unknown
b2474,tmcA,tRNA<sup>Met</sup> cytidine acetyltransferase,2593844,2595859,-,ypfJ;tmcA,2016,Function unknown
b2475,ypfJ,uncharacterized protein YpfJ,2595874,2596737,-,ypfJ;tmcA,864,Function unknown
b2476,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,2596905,2597618,-,purC,714,Nucleotide transport and metabolism
b2477,bamC,outer membrane protein assembly factor BamC,2597831,2598865,-,bamC;dapA,1035,Cell wall/membrane/envelope biogenesis
b2478,dapA,4-hydroxy-tetrahydrodipicolinate synthase,2598882,2599760,-,bamC;dapA,879,Amino acid transport and metabolism
b2479,gcvR,putative transcriptional regulator GcvR,2599906,2600478,+,gcvR,573,Amino acid transport and metabolism
b2480,bcp,EG10108-MONOMER,2600478,2600948,+,bcp,471,"Posttranslational modification, protein turnover, chaperones"
b2481,hyfA,hydrogenase 4 component A,2601201,2601818,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,618,Energy production and conversion
b2482,hyfB,hydrogenase 4 component B,2601818,2603836,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,2019,Energy production and conversion
b2483,hyfC,hydrogenase 4 component C,2603847,2604794,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,948,Energy production and conversion
b2484,hyfD,hydrogenase 4 component D,2604811,2606250,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,1440,Energy production and conversion
b2485,hyfE,hydrogenase 4 component E,2606262,2606912,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,651,Energy production and conversion
b2486,hyfF,hydrogenase 4 component F,2606917,2608497,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,1581,Energy production and conversion
b2487,hyfG,hydrogenase 4 catalytic subunit HyfG,2608487,2610154,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,1668,Energy production and conversion
b2488,hyfH,hydrogenase 4 component H,2610164,2610709,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,546,Energy production and conversion
b2489,hyfI,hydrogenase 4 catalytic subunit HyfI,2610706,2611464,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,759,Energy production and conversion
b2490,hyfJ,putative hydrogenase 4 assembly protein,2611457,2611870,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,414,"Posttranslational modification, protein turnover, chaperones"
b2491,hyfR,DNA-binding transcriptional activator HyfR,2611900,2613912,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,2013,Transcription
b2492,focB,formate channel FocB,2613934,2614782,+,focB;hyfR;hyfJ;hyfI;hyfH;hyfG;hyfF;hyfE;hyfD;hyfC;hyfB;hyfA,849,Inorganic ion transport and metabolism
b2493,yfgO,putative transporter YfgO,2614820,2615881,-,yfgO,1062,Function unknown
b2494,bepA,&beta;-barrel assembly-enhancing protease,2616094,2617557,+,yfgD;bepA,1464,"Posttranslational modification, protein turnover, chaperones"
b2495,yfgD,putative oxidoreductase YfgD,2617578,2617937,+,yfgD;bepA,360,Inorganic ion transport and metabolism
b2496,hda,inibitor of reinitiation of DNA replication,2618075,2618776,-,hda,702,"Replication, recombination and repair"
b2497,uraA,uracil:H<sup>+</sup> symporter UraA,2618871,2620160,-,uraA;upp,1290,Nucleotide transport and metabolism
b2498,upp,uracil phosphoribosyltransferase,2620246,2620872,-,uraA;upp,627,Nucleotide transport and metabolism
b2499,purM,phosphoribosylformylglycinamide cyclo-ligase,2621197,2622234,+,purM;purN,1038,Nucleotide transport and metabolism
b2500,purN,phosphoribosylglycinamide formyltransferase 1,2622234,2622872,+,purM;purN,639,Nucleotide transport and metabolism
b2501,ppk,polyphosphate kinase,2623044,2625110,+,ppx;ppk,2067,Inorganic ion transport and metabolism
b2502,ppx,exopolyphosphatase,2625115,2626656,+,ppx;ppk,1542,Nucleotide transport and metabolism
b2503,pdeF,cyclic di-GMP phosphodiesterase PdeF,2626695,2628938,-,pdeF,2244,Signal transduction mechanisms
b2504,yfgG,nickel/cobalt stress response protein YfgG,2629290,2629481,+,yfgG,192,Function unknown
b2505,yfgH,lipoprotein YfgH,2629792,2630310,+,yfgI;yfgH,519,Cell wall/membrane/envelope biogenesis
b2508,guaB,inosine 5'-monophosphate dehydrogenase,2632604,2634070,-,guaA;guaB,1467,Function unknown
b2509,xseA,exodeoxyribonuclease VII subunit XseA,2634232,2635602,+,xseA,1371,"Replication, recombination and repair"
b2510,yfgJ,zinc ribbon domain-containing protein YfgJ,2635599,2635814,-,yfgJ,216,Function unknown
b2511,der,50S ribosomal subunit stability factor,2635884,2637356,-,der;bamB,1473,Function unknown
b2512,bamB,outer membrane protein assembly factor BamB,2637474,2638652,-,der;bamB,1179,Function unknown
b2513,yfgM,ancillary SecYEG translocon subunit,2638663,2639283,-,yfgM,621,Function unknown
b2514,hisS,histidine&mdash;tRNA ligase,2639301,2640575,-,hisS,1275,"Translation, ribosomal structure and biogenesis"
b2515,ispG,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),2640686,2641804,-,ispG;sroE,1119,Lipid transport and metabolism
b2516,rodZ,transmembrane component of cytoskeleton,2641831,2642844,-,rodZ,1014,Function unknown
b2517,rlmN,23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase,2643129,2644283,-,rlmN,1155,"Translation, ribosomal structure and biogenesis"
b2518,ndk,nucleoside diphosphate kinase,2644433,2644864,-,ndk,432,Nucleotide transport and metabolism
b2520,yfhM,&alpha;<sub>2</sub>-macroglobulin,2647326,2652287,-,yfhM;pbpC,4962,Function unknown
b2522,sseB,protein SseB,2654157,2654933,-,sseB,777,Function unknown
b2524,iscX,accessory iron-sulfur cluster assembly protein IscX,2656536,2656736,-,iscX;fdx;hscA;hscB,201,Function unknown
b2525,fdx,"oxidized ferredoxin // ""reduced ferredoxin""",2656748,2657083,-,iscX;fdx;hscA;hscB,336,Energy production and conversion
b2526,hscA,iron-sulfur cluster biosynthesis chaperone HscA,2657085,2658935,-,iscX;fdx;hscA;hscB,1851,"Posttranslational modification, protein turnover, chaperones"
b2527,hscB,[Fe-S] cluster biosynthesis co-chaperone HscB,2658952,2659467,-,iscX;fdx;hscA;hscB,516,"Posttranslational modification, protein turnover, chaperones"
b2528,iscA,iron-sulfur cluster insertion protein IscA,2659563,2659886,-,iscA;iscU;iscS;iscR,324,Function unknown
b2529,iscU,scaffold protein for iron-sulfur cluster assembly,2659903,2660289,-,iscA;iscU;iscS;iscR,387,Energy production and conversion
b2530,iscS,cysteine desulfurase,2660317,2661531,-,iscA;iscU;iscS;iscR,1215,No COG Annotation
b2531,iscR,DNA-binding transcriptional dual regulator IscR,2661643,2662131,-,iscA;iscU;iscS;iscR,489,No COG Annotation
b2532,trmJ,tRNA Cm32/Um32 methyltransferase,2662583,2663323,-,trmJ,741,"Translation, ribosomal structure and biogenesis"
b2533,suhB,inositol-phosphate phosphatase,2663442,2664245,+,suhB,804,No COG Annotation
b2534,yfhR,putative peptidase,2664390,2665244,+,yfhR,855,Function unknown
b2535,csiE,stationary phase inducible protein CsiE,2665435,2666715,+,csiE,1281,No COG Annotation
b2536,hcaT,putative 3-phenylpropionate transporter,2666707,2667846,-,hcaT,1140,No COG Annotation
b2537,hcaR,DNA-binding transcriptional dual regulator HcaR,2668006,2668896,-,hcaR,891,Transcription
b2538,hcaE,putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;,2669032,2670393,+,hcaD;hcaB;hcaC;hcaF;hcaE,1362,Inorganic ion transport and metabolism
b2539,hcaF,putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;,2670390,2670908,+,hcaD;hcaB;hcaC;hcaF;hcaE,519,No COG Annotation
b2540,hcaC,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,2670908,2671228,+,hcaD;hcaB;hcaC;hcaF;hcaE,321,Energy production and conversion
b2541,hcaB,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",2671225,2672037,+,hcaD;hcaB;hcaC;hcaF;hcaE,813,"Secondary metabolites biosynthesis, transport and catabolism"
b2542,hcaD,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,2672047,2673249,+,hcaD;hcaB;hcaC;hcaF;hcaE,1203,Function unknown
b2543,yphA,putative inner membrane protein,2673346,2673768,+,yphA,423,Function unknown
b2544,yphB,putative aldose 1-epimerase YphB,2673816,2674688,-,yphC;yphB,873,Carbohydrate transport and metabolism
b2546,yphD,putative ABC transporter membrane subunit YphD,2675827,2676825,-,yphF;yphE;yphD,999,Carbohydrate transport and metabolism
b2547,yphE,putative ABC transporter ATP-binding protein YphE,2676850,2678361,-,yphF;yphE;yphD,1512,Inorganic ion transport and metabolism
b2548,yphF,putative ABC transporter periplasmic binding protein YphF,2678384,2679367,-,yphF;yphE;yphD,984,Carbohydrate transport and metabolism
b2549,yphG,DUF5107 domain-containing protein YphG,2679464,2682745,-,yphG,3282,Function unknown
b2550,yphH,"putative DNA-binding transcriptional regulator, NAGC-like",2682863,2684056,+,yphH,1194,Carbohydrate transport and metabolism
b2551,glyA,serine hydroxymethyltransferase,2684254,2685507,-,glyA,1254,Amino acid transport and metabolism
b2552,hmp,nitric oxide dioxygenase,2685835,2687025,+,hmp,1191,Energy production and conversion
b2553,glnB,"uridylyl-[protein PII] // ""nitrogen regulatory protein PII-1""",2687070,2687408,-,glnB;glrR,339,Amino acid transport and metabolism
b2554,glrR,"P<sup>asp56</sup> DNA-binding transcriptional activator GlrR // ""DNA-binding transcriptional activator GlrR""",2687469,2688803,-,glnB;glrR,1335,Signal transduction mechanisms
b2555,qseG,outer membrane lipoprotein QseG,2688793,2689506,-,qseG,714,Function unknown
b2556,glrK,"sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK""",2689671,2691098,-,glrK,1428,Signal transduction mechanisms
b2557,purL,FGAMSYN-MONOMER,2691656,2695543,-,purL,3888,Nucleotide transport and metabolism
b2558,mltF,membrane-bound lytic murein transglycosylase F,2695801,2697357,+,mltF,1557,Cell wall/membrane/envelope biogenesis
b2559,tadA,tRNA adenosine<sup>34</sup> deaminase,2697354,2697857,-,pgpC;tadA,504,Nucleotide transport and metabolism
b2560,pgpC,phosphatidylglycerophosphatase C,2697915,2698550,-,pgpC;tadA,636,Amino acid transport and metabolism
b2561,yfhH,putative DNA-binding transcriptional regulator YfhH,2698759,2699607,+,yfhH,849,Transcription
b2562,yfhL,putative 4Fe-4S cluster-containing protein YfhL,2699663,2699923,+,yfhL,261,Energy production and conversion
b2563,acpS,holo-[acyl-carrier-protein] synthase,2700618,2700998,-,acpS;pdxJ;recO;era;rnc,381,Lipid transport and metabolism
b2564,pdxJ,pyridoxine 5'-phosphate synthase,2700998,2701729,-,acpS;pdxJ;recO;era;rnc,732,Coenzyme transport and metabolism
b2565,recO,DNA repair protein RecO,2701741,2702469,-,acpS;pdxJ;recO;era;rnc,729,"Replication, recombination and repair"
b2567,rnc,RNase III,2703383,2704063,-,acpS;pdxJ;recO;era;rnc,681,Transcription
b2568,lepB,signal peptidase I,2704335,2705309,-,lepA;lepB,975,"Intracellular trafficking, secretion, and vesicular transport"
b2569,lepA,30S ribosomal subunit biogenesis factor LepA,2705325,2707124,-,lepA;lepB,1800,Cell wall/membrane/envelope biogenesis
b2570,rseC,protein RseC,2707322,2707801,-,rseC;rseB;rseA;rpoE;rseD,480,Signal transduction mechanisms
b2572,rseA,anti-sigma-E factor RseA,2708754,2709404,-,rseC;rseB;rseA;rpoE;rseD,651,Signal transduction mechanisms
b2573,rpoE,RNA polymerase sigma E factor,2709437,2710012,-,rseC;rseB;rseA;rpoE;rseD,576,Transcription
b2574,nadB,L-aspartate oxidase,2710420,2712042,+,nadB,1623,Coenzyme transport and metabolism
b2575,yfiC,tRNA m<sup>6</sup>A37 methyltransferase,2712027,2712764,-,yfiC,738,Function unknown
b2576,srmB,ATP-dependent RNA helicase SrmB,2712896,2714230,+,srmB,1335,"Replication, recombination and repair"
b2577,yfiE,putative LysR-type DNA-binding transcriptional regulator YfiE,2714439,2715320,-,yfiE,882,Transcription
b2578,eamB,cysteine/<i>O</i>-acetylserine exporter EamB,2715423,2716010,+,eamB,588,Amino acid transport and metabolism
b2579,grcA,stress-induced alternate pyruvate formate-lyase subunit,2716066,2716449,-,grcA,384,Function unknown
b2580,ung,uracil-DNA glycosylase,2716754,2717443,+,ung,690,"Replication, recombination and repair"
b2581,yfiF,putative methyltransferase YfiF,2717491,2718528,-,yfiF,1038,"Translation, ribosomal structure and biogenesis"
b2582,trxC,"oxidized thioredoxin 2 // ""reduced thioredoxin 2""",2718735,2719154,+,trxC,420,"Posttranslational modification, protein turnover, chaperones"
b2583,yfiP,DTW domain-containing protein YfiP,2719223,2719921,+,patZ;yfiP,699,Function unknown
b2584,patZ,peptidyl-lysine <i>N</i>-acetyltransferase,2719953,2722613,+,patZ;yfiP,2661,Energy production and conversion
b2585,pssA,phosphatidylserine synthase,2722727,2724082,+,pssA,1356,Lipid transport and metabolism
b2586,yfiM,protein YfiM,2724128,2724451,+,yfiM,324,Function unknown
b2587,kgtP,&alpha;-ketoglutarate:H<sup>+</sup> symporter,2724448,2725746,-,kgtP,1299,Carbohydrate transport and metabolism
b2592,clpB,"ClpB80 // ""chaperone protein ClpB""",2731600,2734173,-,clpB,2574,"Posttranslational modification, protein turnover, chaperones"
